Admission Type,Year,Admissions,Service Type,Hospital Admissions,Facility Type,Number of Beds
    Tan Tock Seng Hospital,2006,51965,Psychiatric Hospitals Admissions,8514,Psychiatric Hospitals,2113
    Tan Tock Seng Hospital,2006,51965,Psychiatric Hospitals Admissions,8514,Community Hospitals,771
    Tan Tock Seng Hospital,2006,51965,Psychiatric Hospitals Admissions,8514,Nursing Homes,9456
    Tan Tock Seng Hospital,2006,51965,Community Hospitals Admissions,6229,Acute Hospitals,8187
    Tan Tock Seng Hospital,2006,51965,Community Hospitals Admissions,6229,Psychiatric Hospitals,2113
    Tan Tock Seng Hospital,2006,51965,Community Hospitals Admissions,6229,Community Hospitals,771
    Tan Tock Seng Hospital,2006,51965,Community Hospitals Admissions,6229,Nursing Homes,9456
    Tan Tock Seng Hospital,2006,51965,Specialist Outpatient Clinics,3624976,Acute Hospitals,8187
    Tan Tock Seng Hospital,2006,51965,Specialist Outpatient Clinics,3624976,Psychiatric Hospitals,2113
    Tan Tock Seng Hospital,2006,51965,Specialist Outpatient Clinics,3624976,Community Hospitals,771
    Tan Tock Seng Hospital,2006,51965,Specialist Outpatient Clinics,3624976,Nursing Homes,9456
    Tan Tock Seng Hospital,2006,51965,Accident & Emergency Departments,676763,Acute Hospitals,8187
    Tan Tock Seng Hospital,2006,51965,Accident & Emergency Departments,676763,Psychiatric Hospitals,2113
    Tan Tock Seng Hospital,2006,51965,Accident & Emergency Departments,676763,Community Hospitals,771
    Tan Tock Seng Hospital,2006,51965,Accident & Emergency Departments,676763,Nursing Homes,9456
    Tan Tock Seng Hospital,2006,51965,Polyclinics,3769989,Acute Hospitals,8187
    Tan Tock Seng Hospital,2006,51965,Polyclinics,3769989,Psychiatric Hospitals,2113
    Tan Tock Seng Hospital,2006,51965,Polyclinics,3769989,Community Hospitals,771
    Tan Tock Seng Hospital,2006,51965,Polyclinics,3769989,Nursing Homes,9456
    Tan Tock Seng Hospital,2006,51965,Dental Clinics,838466,Acute Hospitals,8187
    Tan Tock Seng Hospital,2006,51965,Dental Clinics,838466,Psychiatric Hospitals,2113
    Tan Tock Seng Hospital,2006,51965,Dental Clinics,838466,Community Hospitals,771
    Tan Tock Seng Hospital,2006,51965,Dental Clinics,838466,Nursing Homes,9456
    Tan Tock Seng Hospital,2006,51965,Day Surgeries,196619,Acute Hospitals,8187
    Tan Tock Seng Hospital,2006,51965,Day Surgeries,196619,Psychiatric Hospitals,2113
    Tan Tock Seng Hospital,2006,51965,Day Surgeries,196619,Community Hospitals,771
    Tan Tock Seng Hospital,2006,51965,Day Surgeries,196619,Nursing Homes,9456
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Acute Hospitals Admissions,400636,Acute Hospitals,8187
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Acute Hospitals Admissions,400636,Psychiatric Hospitals,2113
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Acute Hospitals Admissions,400636,Community Hospitals,771
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Acute Hospitals Admissions,400636,Nursing Homes,9456
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Psychiatric Hospitals Admissions,8514,Acute Hospitals,8187
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Psychiatric Hospitals Admissions,8514,Psychiatric Hospitals,2113
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Psychiatric Hospitals Admissions,8514,Community Hospitals,771
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Psychiatric Hospitals Admissions,8514,Nursing Homes,9456
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Community Hospitals Admissions,6229,Acute Hospitals,8187
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Community Hospitals Admissions,6229,Psychiatric Hospitals,2113
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Community Hospitals Admissions,6229,Community Hospitals,771
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Community Hospitals Admissions,6229,Nursing Homes,9456
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Specialist Outpatient Clinics,3624976,Acute Hospitals,8187
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Specialist Outpatient Clinics,3624976,Psychiatric Hospitals,2113
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Specialist Outpatient Clinics,3624976,Community Hospitals,771
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Specialist Outpatient Clinics,3624976,Nursing Homes,9456
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Accident & Emergency Departments,676763,Acute Hospitals,8187
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Accident & Emergency Departments,676763,Psychiatric Hospitals,2113
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Accident & Emergency Departments,676763,Community Hospitals,771
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Accident & Emergency Departments,676763,Nursing Homes,9456
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Polyclinics,3769989,Acute Hospitals,8187
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Polyclinics,3769989,Psychiatric Hospitals,2113
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Polyclinics,3769989,Community Hospitals,771
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Polyclinics,3769989,Nursing Homes,9456
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Dental Clinics,838466,Acute Hospitals,8187
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Dental Clinics,838466,Psychiatric Hospitals,2113
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Dental Clinics,838466,Community Hospitals,771
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Dental Clinics,838466,Nursing Homes,9456
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Day Surgeries,196619,Acute Hospitals,8187
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Day Surgeries,196619,Psychiatric Hospitals,2113
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Day Surgeries,196619,Community Hospitals,771
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Day Surgeries,196619,Nursing Homes,9456
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Acute Hospitals Admissions,400636,Acute Hospitals,8187
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Acute Hospitals Admissions,400636,Psychiatric Hospitals,2113
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Acute Hospitals Admissions,400636,Community Hospitals,771
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Acute Hospitals Admissions,400636,Nursing Homes,9456
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Psychiatric Hospitals Admissions,8514,Acute Hospitals,8187
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Psychiatric Hospitals Admissions,8514,Psychiatric Hospitals,2113
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Psychiatric Hospitals Admissions,8514,Community Hospitals,771
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Psychiatric Hospitals Admissions,8514,Nursing Homes,9456
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Community Hospitals Admissions,6229,Acute Hospitals,8187
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Community Hospitals Admissions,6229,Psychiatric Hospitals,2113
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Community Hospitals Admissions,6229,Community Hospitals,771
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Community Hospitals Admissions,6229,Nursing Homes,9456
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Specialist Outpatient Clinics,3624976,Acute Hospitals,8187
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Specialist Outpatient Clinics,3624976,Psychiatric Hospitals,2113
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Specialist Outpatient Clinics,3624976,Community Hospitals,771
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Specialist Outpatient Clinics,3624976,Nursing Homes,9456
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Accident & Emergency Departments,676763,Acute Hospitals,8187
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Accident & Emergency Departments,676763,Psychiatric Hospitals,2113
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Accident & Emergency Departments,676763,Community Hospitals,771
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Accident & Emergency Departments,676763,Nursing Homes,9456
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Polyclinics,3769989,Acute Hospitals,8187
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Polyclinics,3769989,Psychiatric Hospitals,2113
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Polyclinics,3769989,Community Hospitals,771
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Polyclinics,3769989,Nursing Homes,9456
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Dental Clinics,838466,Acute Hospitals,8187
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Dental Clinics,838466,Psychiatric Hospitals,2113
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Dental Clinics,838466,Community Hospitals,771
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Dental Clinics,838466,Nursing Homes,9456
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Day Surgeries,196619,Acute Hospitals,8187
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Day Surgeries,196619,Psychiatric Hospitals,2113
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Day Surgeries,196619,Community Hospitals,771
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Day Surgeries,196619,Nursing Homes,9456
Public Sector Hospital Admissions,2007,325772,Acute Hospitals Admissions,413205,Acute Hospitals,8235
Public Sector Hospital Admissions,2007,325772,Acute Hospitals Admissions,413205,Psychiatric Hospitals,2064
Public Sector Hospital Admissions,2007,325772,Acute Hospitals Admissions,413205,Community Hospitals,749
Public Sector Hospital Admissions,2007,325772,Acute Hospitals Admissions,413205,Nursing Homes,9626
Public Sector Hospital Admissions,2007,325772,Psychiatric Hospitals Admissions,8705,Acute Hospitals,8235
Public Sector Hospital Admissions,2007,325772,Psychiatric Hospitals Admissions,8705,Psychiatric Hospitals,2064
Public Sector Hospital Admissions,2007,325772,Psychiatric Hospitals Admissions,8705,Community Hospitals,749
Public Sector Hospital Admissions,2007,325772,Psychiatric Hospitals Admissions,8705,Nursing Homes,9626
Public Sector Hospital Admissions,2007,325772,Community Hospitals Admissions,7312,Acute Hospitals,8235
Public Sector Hospital Admissions,2007,325772,Community Hospitals Admissions,7312,Psychiatric Hospitals,2064
Public Sector Hospital Admissions,2007,325772,Community Hospitals Admissions,7312,Community Hospitals,749
Public Sector Hospital Admissions,2007,325772,Community Hospitals Admissions,7312,Nursing Homes,9626
Public Sector Hospital Admissions,2007,325772,Specialist Outpatient Clinics,3687910,Acute Hospitals,8235
Public Sector Hospital Admissions,2007,325772,Specialist Outpatient Clinics,3687910,Psychiatric Hospitals,2064
Public Sector Hospital Admissions,2007,325772,Specialist Outpatient Clinics,3687910,Community Hospitals,749
Public Sector Hospital Admissions,2007,325772,Specialist Outpatient Clinics,3687910,Nursing Homes,9626
Public Sector Hospital Admissions,2007,325772,Accident & Emergency Departments,752122,Acute Hospitals,8235
Public Sector Hospital Admissions,2007,325772,Accident & Emergency Departments,752122,Psychiatric Hospitals,2064
Public Sector Hospital Admissions,2007,325772,Accident & Emergency Departments,752122,Community Hospitals,749
Public Sector Hospital Admissions,2007,325772,Accident & Emergency Departments,752122,Nursing Homes,9626
Public Sector Hospital Admissions,2007,325772,Polyclinics,3797953,Acute Hospitals,8235
Public Sector Hospital Admissions,2007,325772,Polyclinics,3797953,Psychiatric Hospitals,2064
Public Sector Hospital Admissions,2007,325772,Polyclinics,3797953,Community Hospitals,749
Public Sector Hospital Admissions,2007,325772,Polyclinics,3797953,Nursing Homes,9626
Public Sector Hospital Admissions,2007,325772,Dental Clinics,889210,Acute Hospitals,8235
Public Sector Hospital Admissions,2007,325772,Dental Clinics,889210,Psychiatric Hospitals,2064
Public Sector Hospital Admissions,2007,325772,Dental Clinics,889210,Community Hospitals,749
Public Sector Hospital Admissions,2007,325772,Dental Clinics,889210,Nursing Homes,9626
Public Sector Hospital Admissions,2007,325772,Day Surgeries,203639,Acute Hospitals,8235
Public Sector Hospital Admissions,2007,325772,Day Surgeries,203639,Psychiatric Hospitals,2064
Public Sector Hospital Admissions,2007,325772,Day Surgeries,203639,Community Hospitals,749
Public Sector Hospital Admissions,2007,325772,Day Surgeries,203639,Nursing Homes,9626
    National University Hospital,2007,54169,Acute Hospitals Admissions,413205,Acute Hospitals,8235
    National University Hospital,2007,54169,Acute Hospitals Admissions,413205,Psychiatric Hospitals,2064
    National University Hospital,2007,54169,Acute Hospitals Admissions,413205,Community Hospitals,749
    National University Hospital,2007,54169,Acute Hospitals Admissions,413205,Nursing Homes,9626
    National University Hospital,2007,54169,Psychiatric Hospitals Admissions,8705,Acute Hospitals,8235
    National University Hospital,2007,54169,Psychiatric Hospitals Admissions,8705,Psychiatric Hospitals,2064
    National University Hospital,2007,54169,Psychiatric Hospitals Admissions,8705,Community Hospitals,749
    National University Hospital,2007,54169,Psychiatric Hospitals Admissions,8705,Nursing Homes,9626
    National University Hospital,2007,54169,Community Hospitals Admissions,7312,Acute Hospitals,8235
    National University Hospital,2007,54169,Community Hospitals Admissions,7312,Psychiatric Hospitals,2064
    National University Hospital,2007,54169,Community Hospitals Admissions,7312,Community Hospitals,749
    National University Hospital,2007,54169,Community Hospitals Admissions,7312,Nursing Homes,9626
    National University Hospital,2007,54169,Specialist Outpatient Clinics,3687910,Acute Hospitals,8235
    National University Hospital,2007,54169,Specialist Outpatient Clinics,3687910,Psychiatric Hospitals,2064
    National University Hospital,2007,54169,Specialist Outpatient Clinics,3687910,Community Hospitals,749
    National University Hospital,2007,54169,Specialist Outpatient Clinics,3687910,Nursing Homes,9626
    National University Hospital,2007,54169,Accident & Emergency Departments,752122,Acute Hospitals,8235
    National University Hospital,2007,54169,Accident & Emergency Departments,752122,Psychiatric Hospitals,2064
    National University Hospital,2007,54169,Accident & Emergency Departments,752122,Community Hospitals,749
    National University Hospital,2007,54169,Accident & Emergency Departments,752122,Nursing Homes,9626
    National University Hospital,2007,54169,Polyclinics,3797953,Acute Hospitals,8235
    National University Hospital,2007,54169,Polyclinics,3797953,Psychiatric Hospitals,2064
    National University Hospital,2007,54169,Polyclinics,3797953,Community Hospitals,749
    National University Hospital,2007,54169,Polyclinics,3797953,Nursing Homes,9626
    National University Hospital,2007,54169,Dental Clinics,889210,Acute Hospitals,8235
    National University Hospital,2007,54169,Dental Clinics,889210,Psychiatric Hospitals,2064
    National University Hospital,2007,54169,Dental Clinics,889210,Community Hospitals,749
    National University Hospital,2007,54169,Dental Clinics,889210,Nursing Homes,9626
    National University Hospital,2007,54169,Day Surgeries,203639,Acute Hospitals,8235
    National University Hospital,2007,54169,Day Surgeries,203639,Psychiatric Hospitals,2064
    National University Hospital,2007,54169,Day Surgeries,203639,Community Hospitals,749
    National University Hospital,2007,54169,Day Surgeries,203639,Nursing Homes,9626
    Singapore General Hospital,2007,73103,Acute Hospitals Admissions,413205,Acute Hospitals,8235
    Singapore General Hospital,2007,73103,Acute Hospitals Admissions,413205,Psychiatric Hospitals,2064
    Singapore General Hospital,2007,73103,Acute Hospitals Admissions,413205,Community Hospitals,749
    Singapore General Hospital,2007,73103,Acute Hospitals Admissions,413205,Nursing Homes,9626
    Singapore General Hospital,2007,73103,Psychiatric Hospitals Admissions,8705,Acute Hospitals,8235
    Singapore General Hospital,2007,73103,Psychiatric Hospitals Admissions,8705,Psychiatric Hospitals,2064
    Singapore General Hospital,2007,73103,Psychiatric Hospitals Admissions,8705,Community Hospitals,749
    Singapore General Hospital,2007,73103,Psychiatric Hospitals Admissions,8705,Nursing Homes,9626
    Singapore General Hospital,2007,73103,Community Hospitals Admissions,7312,Acute Hospitals,8235
    Singapore General Hospital,2007,73103,Community Hospitals Admissions,7312,Psychiatric Hospitals,2064
    Singapore General Hospital,2007,73103,Community Hospitals Admissions,7312,Community Hospitals,749
    Singapore General Hospital,2007,73103,Community Hospitals Admissions,7312,Nursing Homes,9626
    Singapore General Hospital,2007,73103,Specialist Outpatient Clinics,3687910,Acute Hospitals,8235
    Singapore General Hospital,2007,73103,Specialist Outpatient Clinics,3687910,Psychiatric Hospitals,2064
    Singapore General Hospital,2007,73103,Specialist Outpatient Clinics,3687910,Community Hospitals,749
    Singapore General Hospital,2007,73103,Specialist Outpatient Clinics,3687910,Nursing Homes,9626
    Singapore General Hospital,2007,73103,Accident & Emergency Departments,752122,Acute Hospitals,8235
    Singapore General Hospital,2007,73103,Accident & Emergency Departments,752122,Psychiatric Hospitals,2064
    Singapore General Hospital,2007,73103,Accident & Emergency Departments,752122,Community Hospitals,749
    Singapore General Hospital,2007,73103,Accident & Emergency Departments,752122,Nursing Homes,9626
    Singapore General Hospital,2007,73103,Polyclinics,3797953,Acute Hospitals,8235
    Singapore General Hospital,2007,73103,Polyclinics,3797953,Psychiatric Hospitals,2064
    Singapore General Hospital,2007,73103,Polyclinics,3797953,Community Hospitals,749
    Singapore General Hospital,2007,73103,Polyclinics,3797953,Nursing Homes,9626
    Singapore General Hospital,2007,73103,Dental Clinics,889210,Acute Hospitals,8235
    Singapore General Hospital,2007,73103,Dental Clinics,889210,Psychiatric Hospitals,2064
    Singapore General Hospital,2007,73103,Dental Clinics,889210,Community Hospitals,749
    Singapore General Hospital,2007,73103,Dental Clinics,889210,Nursing Homes,9626
    Singapore General Hospital,2007,73103,Day Surgeries,203639,Acute Hospitals,8235
    Singapore General Hospital,2007,73103,Day Surgeries,203639,Psychiatric Hospitals,2064
    Singapore General Hospital,2007,73103,Day Surgeries,203639,Community Hospitals,749
    Singapore General Hospital,2007,73103,Day Surgeries,203639,Nursing Homes,9626
    Tan Tock Seng Hospital,2007,53424,Acute Hospitals Admissions,413205,Acute Hospitals,8235
    Tan Tock Seng Hospital,2007,53424,Acute Hospitals Admissions,413205,Psychiatric Hospitals,2064
    Tan Tock Seng Hospital,2007,53424,Acute Hospitals Admissions,413205,Community Hospitals,749
    Tan Tock Seng Hospital,2007,53424,Acute Hospitals Admissions,413205,Nursing Homes,9626
    Tan Tock Seng Hospital,2007,53424,Psychiatric Hospitals Admissions,8705,Acute Hospitals,8235
    Tan Tock Seng Hospital,2007,53424,Psychiatric Hospitals Admissions,8705,Psychiatric Hospitals,2064
    Tan Tock Seng Hospital,2007,53424,Psychiatric Hospitals Admissions,8705,Community Hospitals,749
    Tan Tock Seng Hospital,2007,53424,Psychiatric Hospitals Admissions,8705,Nursing Homes,9626
    Tan Tock Seng Hospital,2007,53424,Community Hospitals Admissions,7312,Acute Hospitals,8235
    Tan Tock Seng Hospital,2007,53424,Community Hospitals Admissions,7312,Psychiatric Hospitals,2064
