Admission Type,Year,Admissions,Service Type,Hospital Admissions,Facility Type,Number of Beds,Admissions per Bed,Overcapacity
    Singapore General Hospital,2006,73827,Day Surgeries,196619,Acute Hospitals,8187,9.01758886038842,No
    Singapore General Hospital,2006,73827,Day Surgeries,196619,Psychiatric Hospitals,2113,34.93942262186465,Yes
    Singapore General Hospital,2006,73827,Day Surgeries,196619,Community Hospitals,771,95.75486381322958,Yes
    Singapore General Hospital,2006,73827,Day Surgeries,196619,Nursing Homes,9456,7.80742385786802,No
    Tan Tock Seng Hospital,2006,51965,Acute Hospitals Admissions,400636,Acute Hospitals,8187,6.3472578478075,No
    Tan Tock Seng Hospital,2006,51965,Acute Hospitals Admissions,400636,Psychiatric Hospitals,2113,24.592995740653098,Yes
    Tan Tock Seng Hospital,2006,51965,Acute Hospitals Admissions,400636,Community Hospitals,771,67.39948119325551,Yes
    Tan Tock Seng Hospital,2006,51965,Acute Hospitals Admissions,400636,Nursing Homes,9456,5.495452622673435,No
    Tan Tock Seng Hospital,2006,51965,Psychiatric Hospitals Admissions,8514,Acute Hospitals,8187,6.3472578478075,No
    Tan Tock Seng Hospital,2006,51965,Psychiatric Hospitals Admissions,8514,Psychiatric Hospitals,2113,24.592995740653098,Yes
    Tan Tock Seng Hospital,2006,51965,Psychiatric Hospitals Admissions,8514,Community Hospitals,771,67.39948119325551,Yes
    Tan Tock Seng Hospital,2006,51965,Psychiatric Hospitals Admissions,8514,Nursing Homes,9456,5.495452622673435,No
    Tan Tock Seng Hospital,2006,51965,Community Hospitals Admissions,6229,Acute Hospitals,8187,6.3472578478075,No
    Tan Tock Seng Hospital,2006,51965,Community Hospitals Admissions,6229,Psychiatric Hospitals,2113,24.592995740653098,Yes
    Tan Tock Seng Hospital,2006,51965,Community Hospitals Admissions,6229,Community Hospitals,771,67.39948119325551,Yes
    Tan Tock Seng Hospital,2006,51965,Community Hospitals Admissions,6229,Nursing Homes,9456,5.495452622673435,No
    Tan Tock Seng Hospital,2006,51965,Specialist Outpatient Clinics,3624976,Acute Hospitals,8187,6.3472578478075,No
    Tan Tock Seng Hospital,2006,51965,Specialist Outpatient Clinics,3624976,Psychiatric Hospitals,2113,24.592995740653098,Yes
    Tan Tock Seng Hospital,2006,51965,Specialist Outpatient Clinics,3624976,Community Hospitals,771,67.39948119325551,Yes
    Tan Tock Seng Hospital,2006,51965,Specialist Outpatient Clinics,3624976,Nursing Homes,9456,5.495452622673435,No
    Tan Tock Seng Hospital,2006,51965,Accident & Emergency Departments,676763,Acute Hospitals,8187,6.3472578478075,No
    Tan Tock Seng Hospital,2006,51965,Accident & Emergency Departments,676763,Psychiatric Hospitals,2113,24.592995740653098,Yes
    Tan Tock Seng Hospital,2006,51965,Accident & Emergency Departments,676763,Community Hospitals,771,67.39948119325551,Yes
    Tan Tock Seng Hospital,2006,51965,Accident & Emergency Departments,676763,Nursing Homes,9456,5.495452622673435,No
    Tan Tock Seng Hospital,2006,51965,Polyclinics,3769989,Acute Hospitals,8187,6.3472578478075,No
    Tan Tock Seng Hospital,2006,51965,Polyclinics,3769989,Psychiatric Hospitals,2113,24.592995740653098,Yes
    Tan Tock Seng Hospital,2006,51965,Polyclinics,3769989,Community Hospitals,771,67.39948119325551,Yes
    Tan Tock Seng Hospital,2006,51965,Polyclinics,3769989,Nursing Homes,9456,5.495452622673435,No
    Tan Tock Seng Hospital,2006,51965,Dental Clinics,838466,Acute Hospitals,8187,6.3472578478075,No
    Tan Tock Seng Hospital,2006,51965,Dental Clinics,838466,Psychiatric Hospitals,2113,24.592995740653098,Yes
    Tan Tock Seng Hospital,2006,51965,Dental Clinics,838466,Community Hospitals,771,67.39948119325551,Yes
    Tan Tock Seng Hospital,2006,51965,Dental Clinics,838466,Nursing Homes,9456,5.495452622673435,No
    Tan Tock Seng Hospital,2006,51965,Day Surgeries,196619,Acute Hospitals,8187,6.3472578478075,No
    Tan Tock Seng Hospital,2006,51965,Day Surgeries,196619,Psychiatric Hospitals,2113,24.592995740653098,Yes
    Tan Tock Seng Hospital,2006,51965,Day Surgeries,196619,Community Hospitals,771,67.39948119325551,Yes
    Tan Tock Seng Hospital,2006,51965,Day Surgeries,196619,Nursing Homes,9456,5.495452622673435,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Acute Hospitals Admissions,400636,Acute Hospitals,8187,1.0070844021008916,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Acute Hospitals Admissions,400636,Psychiatric Hospitals,2113,3.9020350212967343,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Acute Hospitals Admissions,400636,Community Hospitals,771,10.693904020752269,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Acute Hospitals Admissions,400636,Nursing Homes,9456,0.8719331641285956,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Psychiatric Hospitals Admissions,8514,Acute Hospitals,8187,1.0070844021008916,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Psychiatric Hospitals Admissions,8514,Psychiatric Hospitals,2113,3.9020350212967343,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Psychiatric Hospitals Admissions,8514,Community Hospitals,771,10.693904020752269,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Psychiatric Hospitals Admissions,8514,Nursing Homes,9456,0.8719331641285956,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Community Hospitals Admissions,6229,Acute Hospitals,8187,1.0070844021008916,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Community Hospitals Admissions,6229,Psychiatric Hospitals,2113,3.9020350212967343,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Community Hospitals Admissions,6229,Community Hospitals,771,10.693904020752269,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Community Hospitals Admissions,6229,Nursing Homes,9456,0.8719331641285956,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Specialist Outpatient Clinics,3624976,Acute Hospitals,8187,1.0070844021008916,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Specialist Outpatient Clinics,3624976,Psychiatric Hospitals,2113,3.9020350212967343,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Specialist Outpatient Clinics,3624976,Community Hospitals,771,10.693904020752269,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Specialist Outpatient Clinics,3624976,Nursing Homes,9456,0.8719331641285956,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Accident & Emergency Departments,676763,Acute Hospitals,8187,1.0070844021008916,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Accident & Emergency Departments,676763,Psychiatric Hospitals,2113,3.9020350212967343,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Accident & Emergency Departments,676763,Community Hospitals,771,10.693904020752269,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Accident & Emergency Departments,676763,Nursing Homes,9456,0.8719331641285956,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Polyclinics,3769989,Acute Hospitals,8187,1.0070844021008916,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Polyclinics,3769989,Psychiatric Hospitals,2113,3.9020350212967343,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Polyclinics,3769989,Community Hospitals,771,10.693904020752269,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Polyclinics,3769989,Nursing Homes,9456,0.8719331641285956,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Dental Clinics,838466,Acute Hospitals,8187,1.0070844021008916,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Dental Clinics,838466,Psychiatric Hospitals,2113,3.9020350212967343,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Dental Clinics,838466,Community Hospitals,771,10.693904020752269,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Dental Clinics,838466,Nursing Homes,9456,0.8719331641285956,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Day Surgeries,196619,Acute Hospitals,8187,1.0070844021008916,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Day Surgeries,196619,Psychiatric Hospitals,2113,3.9020350212967343,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Day Surgeries,196619,Community Hospitals,771,10.693904020752269,No
    Institute Of Mental Health / Woodbridge Hospital,2006,8245,Day Surgeries,196619,Nursing Homes,9456,0.8719331641285956,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Acute Hospitals Admissions,400636,Acute Hospitals,8187,7.252351288628313,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Acute Hospitals Admissions,400636,Psychiatric Hospitals,2113,28.099858021769997,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Acute Hospitals Admissions,400636,Community Hospitals,771,77.01037613488975,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Acute Hospitals Admissions,400636,Nursing Homes,9456,6.279082064297801,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Psychiatric Hospitals Admissions,8514,Acute Hospitals,8187,7.252351288628313,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Psychiatric Hospitals Admissions,8514,Psychiatric Hospitals,2113,28.099858021769997,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Psychiatric Hospitals Admissions,8514,Community Hospitals,771,77.01037613488975,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Psychiatric Hospitals Admissions,8514,Nursing Homes,9456,6.279082064297801,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Community Hospitals Admissions,6229,Acute Hospitals,8187,7.252351288628313,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Community Hospitals Admissions,6229,Psychiatric Hospitals,2113,28.099858021769997,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Community Hospitals Admissions,6229,Community Hospitals,771,77.01037613488975,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Community Hospitals Admissions,6229,Nursing Homes,9456,6.279082064297801,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Specialist Outpatient Clinics,3624976,Acute Hospitals,8187,7.252351288628313,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Specialist Outpatient Clinics,3624976,Psychiatric Hospitals,2113,28.099858021769997,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Specialist Outpatient Clinics,3624976,Community Hospitals,771,77.01037613488975,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Specialist Outpatient Clinics,3624976,Nursing Homes,9456,6.279082064297801,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Accident & Emergency Departments,676763,Acute Hospitals,8187,7.252351288628313,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Accident & Emergency Departments,676763,Psychiatric Hospitals,2113,28.099858021769997,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Accident & Emergency Departments,676763,Community Hospitals,771,77.01037613488975,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Accident & Emergency Departments,676763,Nursing Homes,9456,6.279082064297801,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Polyclinics,3769989,Acute Hospitals,8187,7.252351288628313,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Polyclinics,3769989,Psychiatric Hospitals,2113,28.099858021769997,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Polyclinics,3769989,Community Hospitals,771,77.01037613488975,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Polyclinics,3769989,Nursing Homes,9456,6.279082064297801,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Dental Clinics,838466,Acute Hospitals,8187,7.252351288628313,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Dental Clinics,838466,Psychiatric Hospitals,2113,28.099858021769997,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Dental Clinics,838466,Community Hospitals,771,77.01037613488975,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Dental Clinics,838466,Nursing Homes,9456,6.279082064297801,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Day Surgeries,196619,Acute Hospitals,8187,7.252351288628313,No
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Day Surgeries,196619,Psychiatric Hospitals,2113,28.099858021769997,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Day Surgeries,196619,Community Hospitals,771,77.01037613488975,Yes
    Kandang Kerbau Women's & Children's Hospital,2006,59375,Day Surgeries,196619,Nursing Homes,9456,6.279082064297801,No
Public Sector Hospital Admissions,2007,325772,Acute Hospitals Admissions,413205,Acute Hospitals,8235,39.55944140862174,Yes
Public Sector Hospital Admissions,2007,325772,Acute Hospitals Admissions,413205,Psychiatric Hospitals,2064,157.83527131782947,Yes
Public Sector Hospital Admissions,2007,325772,Acute Hospitals Admissions,413205,Community Hospitals,749,434.9425901201602,Yes
Public Sector Hospital Admissions,2007,325772,Acute Hospitals Admissions,413205,Nursing Homes,9626,33.84292541034698,Yes
Public Sector Hospital Admissions,2007,325772,Psychiatric Hospitals Admissions,8705,Acute Hospitals,8235,39.55944140862174,Yes
Public Sector Hospital Admissions,2007,325772,Psychiatric Hospitals Admissions,8705,Psychiatric Hospitals,2064,157.83527131782947,Yes
Public Sector Hospital Admissions,2007,325772,Psychiatric Hospitals Admissions,8705,Community Hospitals,749,434.9425901201602,Yes
Public Sector Hospital Admissions,2007,325772,Psychiatric Hospitals Admissions,8705,Nursing Homes,9626,33.84292541034698,Yes
Public Sector Hospital Admissions,2007,325772,Community Hospitals Admissions,7312,Acute Hospitals,8235,39.55944140862174,Yes
Public Sector Hospital Admissions,2007,325772,Community Hospitals Admissions,7312,Psychiatric Hospitals,2064,157.83527131782947,Yes
Public Sector Hospital Admissions,2007,325772,Community Hospitals Admissions,7312,Community Hospitals,749,434.9425901201602,Yes
Public Sector Hospital Admissions,2007,325772,Community Hospitals Admissions,7312,Nursing Homes,9626,33.84292541034698,Yes
Public Sector Hospital Admissions,2007,325772,Specialist Outpatient Clinics,3687910,Acute Hospitals,8235,39.55944140862174,Yes
Public Sector Hospital Admissions,2007,325772,Specialist Outpatient Clinics,3687910,Psychiatric Hospitals,2064,157.83527131782947,Yes
Public Sector Hospital Admissions,2007,325772,Specialist Outpatient Clinics,3687910,Community Hospitals,749,434.9425901201602,Yes
Public Sector Hospital Admissions,2007,325772,Specialist Outpatient Clinics,3687910,Nursing Homes,9626,33.84292541034698,Yes
Public Sector Hospital Admissions,2007,325772,Accident & Emergency Departments,752122,Acute Hospitals,8235,39.55944140862174,Yes
Public Sector Hospital Admissions,2007,325772,Accident & Emergency Departments,752122,Psychiatric Hospitals,2064,157.83527131782947,Yes
Public Sector Hospital Admissions,2007,325772,Accident & Emergency Departments,752122,Community Hospitals,749,434.9425901201602,Yes
Public Sector Hospital Admissions,2007,325772,Accident & Emergency Departments,752122,Nursing Homes,9626,33.84292541034698,Yes
Public Sector Hospital Admissions,2007,325772,Polyclinics,3797953,Acute Hospitals,8235,39.55944140862174,Yes
Public Sector Hospital Admissions,2007,325772,Polyclinics,3797953,Psychiatric Hospitals,2064,157.83527131782947,Yes
Public Sector Hospital Admissions,2007,325772,Polyclinics,3797953,Community Hospitals,749,434.9425901201602,Yes
Public Sector Hospital Admissions,2007,325772,Polyclinics,3797953,Nursing Homes,9626,33.84292541034698,Yes
Public Sector Hospital Admissions,2007,325772,Dental Clinics,889210,Acute Hospitals,8235,39.55944140862174,Yes
Public Sector Hospital Admissions,2007,325772,Dental Clinics,889210,Psychiatric Hospitals,2064,157.83527131782947,Yes
Public Sector Hospital Admissions,2007,325772,Dental Clinics,889210,Community Hospitals,749,434.9425901201602,Yes
Public Sector Hospital Admissions,2007,325772,Dental Clinics,889210,Nursing Homes,9626,33.84292541034698,Yes
Public Sector Hospital Admissions,2007,325772,Day Surgeries,203639,Acute Hospitals,8235,39.55944140862174,Yes
Public Sector Hospital Admissions,2007,325772,Day Surgeries,203639,Psychiatric Hospitals,2064,157.83527131782947,Yes
Public Sector Hospital Admissions,2007,325772,Day Surgeries,203639,Community Hospitals,749,434.9425901201602,Yes
Public Sector Hospital Admissions,2007,325772,Day Surgeries,203639,Nursing Homes,9626,33.84292541034698,Yes
    National University Hospital,2007,54169,Acute Hospitals Admissions,413205,Acute Hospitals,8235,6.577899210686096,No
    National University Hospital,2007,54169,Acute Hospitals Admissions,413205,Psychiatric Hospitals,2064,26.24467054263566,Yes
    National University Hospital,2007,54169,Acute Hospitals Admissions,413205,Community Hospitals,749,72.32176234979973,Yes
    National University Hospital,2007,54169,Acute Hospitals Admissions,413205,Nursing Homes,9626,5.627363390816538,No
    National University Hospital,2007,54169,Psychiatric Hospitals Admissions,8705,Acute Hospitals,8235,6.577899210686096,No
    National University Hospital,2007,54169,Psychiatric Hospitals Admissions,8705,Psychiatric Hospitals,2064,26.24467054263566,Yes
    National University Hospital,2007,54169,Psychiatric Hospitals Admissions,8705,Community Hospitals,749,72.32176234979973,Yes
    National University Hospital,2007,54169,Psychiatric Hospitals Admissions,8705,Nursing Homes,9626,5.627363390816538,No
    National University Hospital,2007,54169,Community Hospitals Admissions,7312,Acute Hospitals,8235,6.577899210686096,No
    National University Hospital,2007,54169,Community Hospitals Admissions,7312,Psychiatric Hospitals,2064,26.24467054263566,Yes
    National University Hospital,2007,54169,Community Hospitals Admissions,7312,Community Hospitals,749,72.32176234979973,Yes
    National University Hospital,2007,54169,Community Hospitals Admissions,7312,Nursing Homes,9626,5.627363390816538,No
